Feature,Num Métodos,Métodos
frame.cap_len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
frame.len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.clientid_len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.qos,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.conack.flags.reserved,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.topic_len,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.kalive,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.msgtype,6,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC, Lasso"
mqtt.retain,5,"mRMR, Fisher, Pearson, ExtraTrees, Lasso"
mqtt.conflag.cleansess,5,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC"
mqtt.proto_len,5,"mRMR, Fisher, Pearson, ExtraTrees, LinearSVC"
frame.time_delta,4,"mRMR, ExtraTrees, LinearSVC, Lasso"
mqtt.conack.val,4,"mRMR, Fisher, Pearson, ExtraTrees"
mqtt.ver,4,"Fisher, Pearson, ExtraTrees, LinearSVC"
